rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
1	VHL	von Hippel-Lindau tumor suppressor	164008	237	225	140	2	8	11	24	60	133	1	2.33e-15	<1.00e-15	0.00630	0.0524	0.00606	5.55e-16	3.45e-13
2	PBRM1	polybromo 1	2247536	141	138	130	2	0	3	5	17	116	0	1.55e-15	3.95e-07	0.0373	0.0198	0.0163	9.99e-16	3.45e-13
3	DNMT1	DNA (cytosine-5-)-methyltransferase 1	2083111	21	21	6	0	0	1	3	1	16	0	1.60e-06	0.221	0.000	0.998	0.000	<1.00e-15	<3.45e-13
4	KIAA0408	KIAA0408	931597	18	18	2	0	0	0	0	0	18	0	4.89e-08	1.000	0.000	0.716	0.000	<1.00e-15	<3.45e-13
5	CCDC136	coiled-coil domain containing 136	1318310	16	16	3	0	1	0	0	0	15	0	6.08e-06	0.413	0.000	1.000	0.000	<1.00e-15	<3.45e-13
6	SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	1558778	19	16	3	0	0	0	0	7	11	1	7.09e-06	0.0364	0.000	0.840	0.000	<1.00e-15	<3.45e-13
7	CCDC91	coiled-coil domain containing 91	614810	15	15	3	0	0	0	1	1	13	0	7.47e-09	0.0849	0.000	0.437	0.000	<1.00e-15	<3.45e-13
8	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	1928794	14	14	3	0	0	0	0	1	11	2	0.000386	0.533	0.000	0.974	0.000	<1.00e-15	<3.45e-13
9	DPP3	dipeptidyl-peptidase 3	945518	14	14	2	1	0	1	0	0	13	0	1.82e-05	0.919	0.000	1.000	0.000	<1.00e-15	<3.45e-13
10	TAS2R3	taste receptor, type 2, member 3	429539	14	13	5	0	0	0	1	13	0	0	8.76e-11	0.0596	0.000	0.962	0.000	<1.00e-15	<3.45e-13
11	ACSL3	acyl-CoA synthetase long-chain family member 3	997929	13	12	3	0	0	1	0	10	2	0	5.23e-06	0.0941	0.000	0.00957	0.000	<1.00e-15	<3.45e-13
